year,インド,インドネシア,韓国,カンボジア,シンガポール,スリランカ,タイ,台湾,中国,日本,ネパール,パキスタン,バングラデシュ,東ティモール,フィリピン,ブータン,ブルネイ,ベトナム,香港,マレーシア,ミャンマー,モルディブ,モンゴル,ラオス,東南アジア主要６カ国
1980,189.438,99.296,65.222,—,12.079,4.39,33.422,42.296,303.764,1086.988,1.98,28.632,22.632,—,36.045,0.127,—,27.847,28.862,26.382,—,0.063,3.188,1.004,235.071 
1981,196.535,110.848,72.426,—,14.383,4.568,35.999,48.986,287.363,1201.466,2.315,30.838,22.057,—,39.595,0.137,—,13.875,31.055,26.938,—,0.073,3.336,0.587,241.638 
1982,203.537,113.799,77.768,—,15.887,4.932,37.799,49.545,281.79,1116.841,2.34,31.303,20.197,—,41.254,0.144,—,18.405,32.291,28.868,—,0.087,3.463,0.587,256.012 
1983,222.049,103.149,87.027,—,17.998,5.324,41.366,54.162,302.459,1218.107,2.56,32.339,21.165,—,36.891,0.156,—,27.726,29.907,32.286,—,0.094,3.59,1.075,259.416 
1984,215.556,107.218,96.596,—,19.552,6.24,43.179,61.088,311.473,1294.609,2.708,33.762,24.064,—,34.857,0.161,—,48.177,33.511,36.568,—,0.113,3.316,1.539,289.551 
1985,237.618,107.062,100.288,—,18.557,6.173,40.185,63.641,307.829,1384.532,2.812,34.941,24.756,—,33.995,0.167,4.434,14.999,35.7,33.612,—,0.134,3.851,1.935,248.410 
1986,252.751,101.22,115.537,0.205,18.763,6.615,44.52,78.234,298.564,2051.061,3.06,36.432,25.954,—,33.174,0.189,2.704,33.873,41.076,29.879,—,0.158,4.25,1.353,261.429 
1987,283.75,95.214,146.132,0.141,21.611,6.889,52.204,105.04,325.144,2485.237,3.175,38.983,28.633,—,36.871,0.229,3.106,42.045,50.623,34.046,—,0.149,4.776,0.953,281.991 
1988,299.645,107.279,196.972,0.276,26.515,7.2,63.704,126.461,405.715,3015.394,3.743,42.241,30.904,—,42.082,0.262,2.955,23.234,59.708,37.315,—,0.178,4.797,0.621,300.129 
1989,300.187,122.582,243.508,0.346,31.393,7.227,74.637,152.727,453.914,3017.052,3.784,43.869,34.046,—,47.291,0.261,3.315,6.293,68.79,41.095,—,0.201,4.997,0.767,323.291 
1990,326.608,138.258,279.215,0.899,38.9,8.273,88.467,166.845,392.505,3103.699,3.894,48.572,35.383,—,49.095,0.281,3.908,6.472,76.929,46.575,—,0.231,3.131,0.915,367.767 
1991,274.842,154.558,325.713,2.011,45.472,9.058,101.247,187.351,411.307,3536.803,4.261,55.352,36.468,—,50.32,0.244,4.109,7.642,88.96,52.765,—,0.262,3.297,1.078,412.004 
1992,293.262,168.28,350.078,2.439,52.13,9.765,115.576,223.123,490.848,3852.794,3.872,59.254,36.476,—,58.695,0.238,4.643,9.867,104.272,63.521,—,0.306,1.831,1.236,468.069 
1993,284.194,190.913,386.292,2.427,60.642,10.44,128.89,235.166,616.527,4414.964,4.158,62.729,38.234,—,60.237,0.249,4.558,13.181,120.354,71.837,—,0.346,0.902,1.392,525.700 
1994,333.014,213.727,455.645,2.765,73.776,12.041,146.684,256.438,562.277,4850.349,4.344,63.581,41.538,—,71.003,0.253,4.537,16.312,135.807,79.985,—,0.382,1.082,1.618,601.487 
1995,366.6,244.227,556.449,3.441,87.888,12.787,169.279,279.27,731.973,5333.927,4.716,73.741,45.921,—,82.121,0.296,5.255,20.798,144.653,95.395,—,0.466,1.697,1.88,699.708 
1996,399.791,274.722,598.063,3.507,96.403,14.025,183.035,292.681,860.843,4706.485,4.861,77.429,48.168,—,91.792,0.311,5.679,24.692,159.718,108.3,—,0.527,1.573,1.956,778.944 
