name,CE-1393,katakana,NYT Cooking,Receipt,009.testStopWordRemoval_Bug_ID_10395,008.testNoUnintentionalTagSubstringSearch_Bug_ID_95789,First Notebook,Develop Note,NikkeiBP,003.testLatinCharactersWithNumbersInsideCJK_JIRA_6792,006.testQuotedSpacelessNotebook_Bug_ID_69155,004.mac_unit.001.testLatinCharactersInsideCJK_bug_id_102207,kanji,010.testStopWordRemovalWithPhrase_Bug_ID_10395,hiragana,AI Team,Skitch,012.testSplittingWordsAroundApostrophe_Bug_ID_73983,003.i8n-non-CJK,002.i8n-CJK,Nikkei BP Issue Notes,004.testLatinCharactersWithNumbersInsideCJK_JIRA_6687,011.testTokenizationAroundMarkup_Bug_ID_9884,Security,Related Content,Business Summary,Trackable Progress,360 Reviews,JP Stats,App Center Reviews,Phil's Product Notebook,Product Release Notes,Marketing: International,JP Biz Dev,IT Help Desk,Evernote Support (CSR),AI Team Internal,Engineering Services,JP Presentation,Partner: Nikkei BP,EB feature requests,Evernote Recipe Notebook,Marketing: Media Mentions,JP Corporate Info,JP ZATSUGAKU,Partner: Nikkei,Shared: Nikkei BP,JP Office,Evernote Business: Marketing,Company Updates,Tasks: Nikkei Integration,Marketing Analytics,Big Five,Evernote Commerce,Context - Development,JP MEIGEN,Software Development and Recruiting Notes,Evernote Employee Navigator,JP Media kit,Android Components,The Evernote Academy,JP Partner/Developer,JP Marcom_IY,Search Quality,Jun Terai's Business Notebook,Business Summary Development,Workday FAQs,Engineering Coding Challenge,Marketing Assets,Evernote for Android (Engineering),Data Products Bidness,Beta REST API,Integration: Zendesk,PM Weekly
created:month-12 -created:month-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
created:month-11 -created:month-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.75,2.333333333,0,1.1875,3,0,1.818181818,1.5,0,0,0,1.8,1,0,0,0,1,1.666666667,3,4,2.714285714,0,1.5,2.333333333,0,2,0,0,0,1.483870968,1.666666667,1,6,7,8,1,0,1.769230769,0,0,0,0,0,0,1.2,1.666666667,0,0,2.222222222
created:month-10 -created:month-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.333333333,1.227272727,1.428571429,0,1.105263158,2.666666667,3,1.6,2,0,1.875,1,1.111111111,1,0,0,0,1,3.3,1.666666667,1.75,1.736842105,0,2,2.571428571,0,1.161290323,0,0,0,1.304347826,2,1.5,2.166666667,1.857142857,2.25,1,1,1.391304348,0,0,0,0,0,2,1.5,1.2,1,0,1.55
created:month-9 -created:month-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1.296296296,1,0,1.380952381,1.25,1,1.75,1.166666667,0,1.6,1,1.2,1,1,0,0,1,1.363636364,1.4,1.142857143,1.060606061,0,1.5,1.5,1.5,1,0,0,1.5,1.016666667,1.6,1,1.230769231,1.230769231,1.888888889,1,2,1.390625,0,0,0,0,0,1,1.222222222,1.5,2,0,1.451612903
created:month-8 -created:month-7,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.228571429,1,0,1.275862069,1,1,1.285714286,1,0,1,1,1.083333333,1,1,0,0,1,1.177777778,1,1.125,1.038095238,0,1.666666667,1.185185185,1.333333333,1.013888889,0,0,1,1.049180328,1.3125,2,1.3125,1.125,1.323529412,1,1.5,1.179775281,0,0,25,0,0,1,1,1.555555556,1,2,1.155555556
created:month-7 -created:month-6,0,0,0,0,0,0,1.222222222,1.875,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,4,1,1.023255814,1,0,1.162162162,1.5,1,1.25,1.071428571,0,1.041666667,1,1.153846154,1,1,0,0,1,1.132075472,1,1,1.064220183,0,1.133333333,1.0625,1.25,1,0,0,1,1,1.19047619,1,1.047619048,1.166666667,1.266666667,5,1.166666667,1.342857143,0,0,2.08,0,0,1,1,1,1,1,1.192307692
created:month-6 -created:month-5,0,0,0,1,0,0,1.636363636,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,1.25,1,1.136363636,1,0,1.186046512,1.266666667,2,1.222222222,1,0,1.12,1,1.2,1,1,0,0,1,1.133333333,1,1,1.068965517,0,1.235294118,1,1,1,0,0,1.111111111,1.015625,1,1.166666667,1.045454545,1.047619048,1.385964912,1.4,1.285714286,1.063829787,0,0,1.096153846,0,0,1,1.090909091,1.214285714,1,1.25,1.225806452
created:month-5 -created:month-4,1,1,0,1,0,0,1.444444444,1.1,0,0,0,0,1,0,1,1,0,0,0,0,1.2,0,0,1,1,1.04,1,0,1.039215686,1.157894737,1,1.109090909,1,0,1.107142857,1,1.055555556,1,1,1.764705882,0,1,1.014705882,1.285714286,1,1,3.5,1.047619048,1,1.2,1,1,0,1,1.030769231,1,1.142857143,1.173913043,1.045454545,1.240506329,1.142857143,1.444444444,1.06,2,0,1.122807018,0,0,1,1.25,1.411764706,1,1.6,1.144736842
created:month-4 -created:month-3,1,1,0,4,0,0,1.5,1.181818182,1.263157895,0,0,0,1,0,1,1,0,0,0,0,1.833333333,0,0,1.2,1,1,1,0,1.018867925,1.272727273,1,1.114754098,1,0,1.096774194,1,1.315789474,1,1,1.166666667,0,1,1.057971014,1.222222222,1,1.120967742,1.142857143,1,1,1,1.02739726,1,0,1,1,1.08,1,1.185185185,1,1.204081633,1,1.076923077,1.031446541,7,1.020408163,1.03125,0,0,1,1.333333333,1.208333333,1,1.125,1.091954023
created:month-3 -created:month-2,1,1,1,1,1,1,1.076923077,1.076923077,1.041666667,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1.142857143,1,1.095588235,1,0,1,1,1.28,1,4,1,0,1,1.01369863,1.090909091,1,1.014388489,1,1,1,1,1,1,0,1,1,1.148148148,1.375,1.03125,1,1.262711864,1.375,1.5,1.042682927,2.357142857,1,1,0,0,1,1.15,1,1,1.333333333,1.073684211
