year,インド,インドネシア,韓国,カンボジア,シンガポール,スリランカ,タイ,台湾,中国,日本,ネパール,パキスタン,バングラデシュ,東ティモール,フィリピン,ブータン,ブルネイ,ベトナム,香港,マレーシア,ミャンマー,モルディブ,モンゴル,ラオス,東南アジア主要６カ国
1980,5.281,9.88,-1.701,—,10.027,5.847,4.601,7.324,7.91,3.181,-2.32,8.526,3.05,—,5.149,4.995,—,-3.497,10.34,7.444,—,18.803,6.443,10.004,5.601 
1981,6.006,7.604,7.181,—,10.684,5.345,5.91,-8.556,5.243,4.177,8.341,6.831,3.076,—,3.423,13.589,—,5.797,9.193,6.942,—,7.886,8.376,15.332,6.727 
1982,3.476,2.246,8.265,—,7.172,5.233,5.353,4.798,9.057,3.377,3.78,6.537,3.206,—,3.619,8.195,—,8.15,2.887,5.941,—,7.466,8.331,4.715,5.414 
1983,7.289,4.193,13.242,—,8.54,3.314,5.581,9.044,10.853,3.061,-2.978,6.778,4.61,—,1.875,7.337,—,7.093,6.014,6.25,—,4.414,5.792,3,5.589 
1984,3.821,7.574,10.443,—,8.801,6.725,5.76,10.048,15.176,4.464,9.681,5.065,4.177,—,-7.324,7.616,—,8.397,10.002,7.762,—,17.379,5.914,6.438,5.162 
1985,5.254,3.906,7.75,—,-0.687,4.957,4.643,4.807,13.466,6.333,6.145,7.592,3.744,—,-7.307,4.349,—,5.619,0.715,-0.876,—,13.801,5.679,9.122,0.883 
1986,4.777,7.189,11.224,—,1.328,4.281,5.534,11.516,8.846,2.831,4.566,5.502,3.985,—,3.417,7.954,-2.778,3.357,11.104,1.153,—,8.596,9.426,4.829,3.663 
1987,3.965,6.572,12.467,—,10.757,1.454,9.519,12.703,11.583,4.107,1.7,6.452,2.931,—,4.312,20.229,0.311,2.549,13.395,5.389,—,8.866,3.542,-0.96,6.516 
1988,9.628,6.979,11.905,9.616,11.115,2.698,13.288,8.018,11.281,7.147,7.697,7.625,2.388,—,6.753,15.079,-0.36,5.1,8.512,9.938,—,8.722,5.146,-2.1,8.862 
1989,5.947,9.085,7.03,3.327,10.183,2.25,12.194,8.749,4.063,5.37,4.328,4.96,4.298,—,6.205,6.194,2.206,7.8,2.277,9.06,—,9.292,4.183,9.893,9.088 
1990,5.534,9.002,9.811,1.118,7.028,6.174,11.623,5.646,3.839,5.572,4.635,4.459,4.603,—,3.037,9.098,1.085,5.047,3.83,9.007,—,-4.049,-2.486,6.686,7.960 
1991,1.057,8.928,10.354,7.592,6.687,10.821,8.403,8.359,9.179,3.324,6.366,5.417,4.203,—,-0.578,4.896,3.148,5.809,5.702,9.547,—,6.896,-9.199,3.999,6.466 
1992,5.482,6.523,6.175,7.069,7.088,-3.135,9.23,8.293,14.3,0.819,4.108,7.57,4.801,—,0.338,2.083,4.759,8.7,6.235,8.886,—,6.467,-9.256,6.999,6.794 
1993,4.75,7.956,6.847,4.042,11.537,7.477,8.675,6.802,13.9,0.171,3.847,2.097,4.324,—,2.116,3.192,0.301,8.078,6.201,9.896,—,5.417,-3.169,5.867,8.043 
1994,6.659,7.54,9.206,8.181,10.925,8.036,7.997,7.494,13.081,0.864,8.219,4.369,4.513,—,4.388,3.511,3.149,8.834,6.036,9.211,—,7.505,2.134,8.16,8.149 
1995,7.575,8.22,9.571,6.443,,6.051,8.12,6.501,11,1.942,3.468,5.062,4.77,—,4.679,6.037,4.477,9.54,2.374,9.83,—,7.377,6.376,7.045,7.903 
1996,7.55,7.818,7.595,5.412,7.532,13.502,5.652,6.175,9.9,2.61,5.338,6.599,5.013,—,5.846,6.194,2.881,9.34,4.258,10.002,—,9.084,2.235,6.892,7.698 
1997,4.05,4.7,5.922,5.62,8.291,6.298,-2.754,6.113,9.2,1.596,5.261,1.703,5.304,—,5.185,5.397,-1.475,8.152,5.1,7.327,—,10.405,3.897,6.907,5.150 
1998,6.184,-13.127,-5.471,5.009,-2.225,4.655,-7.634,4.211,7.833,-2.003,2.943,3.494,5.044,—,-0.577,5.57,-0.56,5.765,-5.883,-7.359,5.773,9.789,3.34,4.38,-4.193 
1999,8.463,0.791,11.309,11.91,6.095,4.41,4.572,6.717,7.62,-0.199,4.483,4.184,5.421,—,3.082,6.866,3.053,4.774,2.507,6.131,10.945,7.23,3.07,4.135,4.241 
2000,3.975,4.979,8.924,8.767,8.898,6.024,4.456,6.421,8.431,2.257,6.116,3.906,5.6,—,4.411,6.477,2.853,6.787,7.663,8.671,13.746,4.77,1.146,6.324,6.367 
2001,4.944,3.643,4.525,8.148,-0.952,-1.545,3.444,-1.26,8.3,0.355,5.629,1.97,4.834,16.367,2.894,6.74,2.745,6.895,0.561,0.518,11.344,11.927,4.639,4.623,2.740 
2002,3.907,4.499,7.432,6.579,4.212,0.295,6.149,5.575,9.082,0.29,0.12,3.112,4.845,-6.646,3.646,9.516,3.872,7.08,1.657,5.391,12.026,5.381,5.267,6.865,5.163 
2003,7.944,4.78,2.933,8.506,4.435,5.94,7.189,4.121,10.025,1.685,3.945,4.726,5.776,-2.318,4.97,9.118,2.903,7.341,3.056,5.789,13.844,12.887,7.357,6.21,5.751 
2004,7.849,5.031,4.9,10.341,9.549,5.445,6.289,6.506,10.085,2.361,4.683,7.483,6.108,0.508,6.698,6.748,0.504,7.789,8.7,6.783,13.565,11.898,9.425,7.021,7.023 
2005,9.285,5.693,3.924,13.25,7.489,6.242,4.188,5.416,11.31,1.303,3.479,8.958,6.302,6.239,4.778,6.527,0.388,7.547,7.388,4.976,13.569,-8.022,6.507,6.767,5.779 
2006,9.264,5.501,5.176,10.771,8.86,7.668,4.968,5.623,12.677,1.693,3.365,5.82,6.851,-5.714,5.243,6.981,4.412,6.978,7.033,5.584,13.076,19.577,8.163,8.645,6.189 
2007,9.801,6.345,5.463,10.213,9.112,6.797,5.435,6.517,14.162,2.192,3.412,5.537,6.518,11.448,6.617,12.571,0.12,7.129,6.465,6.299,11.991,10.845,8.757,7.843,6.823 
2008,3.891,7.442,2.829,6.692,1.788,5.95,1.726,0.704,9.635,-1.042,6.105,4.988,5.515,14.199,4.153,10.752,-1.979,5.662,2.128,4.832,3.6,13.318,7.819,7.785,4.267 
