year,インド,インドネシア,韓国,カンボジア,シンガポール,スリランカ,タイ,中国,日本,ネパール,パキスタン,バングラデシュ,東ティモール,フィリピン,ブータン,ブルネイ,ベトナム,香港,マレーシア,ミャンマー,モルディブ,モンゴル,ラオス,東南アジア主要６カ国
1980,697230,147490,37451,6718,2415,15037,47385,977837,115912,14890,78072,81364,578,47397,413,193,54373,5054,13834,34471,158,1690,3253,312894
1981,713561,150979,38046,6775,2463,15274,48337,991554,116822,15237,80692,83600,581,48716,424,199,55628,5152,14180,35280,164,1733,3318,320303
1982,730303,154506,38666,6945,2520,15503,49266,1005329,117709,15596,83428,85868,594,50068,434,205,56932,5229,14544,36099,170,1778,3395,327836
1983,747375,158044,39295,7196,2583,15728,50183,1019698,118552,15964,86265,88181,614,51455,445,211,58277,5291,14927,36918,176,1823,3483,335469
1984,764664,161556,39913,7475,2647,15952,51105,1035329,119319,16337,89183,90560,637,52874,456,217,59653,5350,15333,37725,183,1871,3579,343168
1985,782085,165012,40502,7743,2709,16181,52041,1052622,119989,16714,92165,93015,657,54324,469,223,61049,5415,15764,38509,190,1922,3680,350899
1986,799607,168402,41059,7990,2767,16414,53003,1071835,120551,17092,95207,95551,674,55804,484,229,62460,5487,16222,39269,196,1976,3785,358658
1987,817232,171729,41588,8228,2823,16649,53980,1092647,121022,17472,98302,98149,689,57313,501,236,63881,5565,16704,40005,203,2033,3895,366430
1988,834944,175001,42085,8467,2880,16883,54934,1114162,121433,17865,101421,100780,704,58844,517,243,65314,5645,17202,40711,210,2090,4009,374175
1989,852736,178233,42547,8724,2944,17112,55813,1135128,121831,18285,104531,103401,720,60391,529,250,66757,5722,17707,41380,217,2141,4127,381845
1990,870602,181437,42972,9009,3016,17331,56583,1154606,122249,18742,107608,105983,740,61947,536,257,68210,5794,18211,42007,223,2184,4248,389404
1991,888514,184615,43359,9324,3100,17541,57226,1172328,122703,19237,110634,108510,765,63510,535,264,69671,5857,18710,42588,230,2218,4372,396832
1992,906461,187762,43708,9659,3193,17742,57762,1188450,123180,19766,113616,110987,793,65079,528,272,71130,5915,19205,43126,236,2244,4497,404131
1993,924476,190873,44031,10007,3291,17930,58238,1202983,123659,20313,116580,113442,820,66655,519,280,72559,5974,19701,43642,242,2263,4622,411317
1994,942604,193940,44343,10355,3389,18100,58723,1216067,124102,20859,119565,115914,843,68240,511,287,73924,6049,20206,44164,248,2280,4743,418422
1995,960875,196958,44653,10694,3483,18248,59266,1227841,124483,21391,122600,118428,856,69836,509,295,75199,6144,20725,44711,254,2298,4858,425467
1996,979290,199927,44967,11022,3570,18374,59879,1238235,124795,21903,125698,120987,859,71437,512,302,76376,6267,21261,45291,260,2317,4966,432450
1997,997817,202854,45284,11339,3653,18478,60545,1247259,125048,22395,128846,123574,854,73043,521,310,77460,6411,21808,45896,265,2336,5069,439363
1998,1016403,205753,45600,11642,3736,18572,61251,1255263,125266,22866,132014,126170,845,74656,534,317,78463,6560,22358,46510,270,2356,5165,446217
1999,1034977,208644,45908,11928,3823,18671,61974,1262714,125481,23315,135158,128746,841,76285,548,324,79400,6689,22899,47107,275,2376,5256,453025
2000,1053481,211540,46206,12198,3918,18784,62693,1269975,125715,23740,138250,131281,847,77932,564,331,80286,6784,23421,47670,280,2397,5343,459790
2001,1071888,214448,46492,12449,4023,18915,63415,1277189,125974,24141,141282,133776,866,79605,581,337,81124,6837,23921,48196,285,2420,5425,466536
2002,1090189,217369,46770,12682,4136,19061,64137,1284350,126250,24517,144272,136228,895,81294,598,343,81917,6855,24402,48690,290,2444,5502,473255
2003,1108370,220308,47043,12901,4255,19217,64817,1291485,126524,24869,147252,138600,929,82972,616,350,82683,6850,24869,49152,295,2469,5579,479904
2004,1126419,223269,47320,13112,4375,19374,65405,1298573,126773,25198,150268,140844,963,84596,634,356,83440,6842,25332,49583,300,2497,5659,486417
